ID2,Sector,ID,Subsector,P1,P2,cluster
54,"Professional, Scientific, and Technical Services",541200,Accounting and bookkeeping services OR Accounting and bookkeeping services,-12.244017,-9.71044,0
32,Manufacturing,325510,Paint and coating manufacturing OR Paint and coating manufacturing,-8.8230915,-19.463562,0
21,"Mining, Quarrying, and Oil and Gas Extraction",213112,Support activities for oil and gas operations OR Support activities for oil and gas operations,-9.968882,-0.1390453,0
4,,4A0000,Retail trade OR Retail trade,-14.621849,-11.484995,0
32,Manufacturing,326140,Polystyrene Foam Product Manufacturing OR Polystyrene Foam Product Manufacturing,-5.6154485,-9.590544,0
11,"Agriculture, Forestry, Fishing and Hunting",113A00,"Forest nurseries, forest products, and timber tracts OR Forest nurseries, forest products, and timber tracts",-9.562078,-0.10220835,0
54,"Professional, Scientific, and Technical Services",541610,Management consulting services OR Management consulting services,-10.805324,-7.1259913,0
54,"Professional, Scientific, and Technical Services",5419A0,All other miscellaneous professional and technical services OR All other miscellaneous professional and technical services,-10.225891,-8.4614,0
31,Manufacturing,311940,Seasoning and dressing manufacturing OR Seasoning and dressing manufacturing,-7.849415,-14.091434,0
21,"Mining, Quarrying, and Oil and Gas Extraction",21311A,Support activities for other mining OR Support activities for other mining,-9.548465,-0.09979177,0
54,"Professional, Scientific, and Technical Services",541800,Advertising and related services OR Advertising and related services,-12.671116,-10.460844,0
32,Manufacturing,32712B,Clay and non-clay refractory manufacturing OR Clay and non-clay refractory manufacturing,-0.78999305,2.3830934,0
33,Manufacturing,332600,Spring and wire product manufacturing OR Spring and wire product manufacturing,-6.642015,-10.007722,0
56,Administrative and Support and Waste Management and Remediation Services,561400,Business support services OR Business support services,-10.651417,-8.085217,0
32,Manufacturing,327910,Abrasive product manufacturing OR Abrasive product manufacturing,-2.1837938,-4.565399,0
56,Administrative and Support and Waste Management and Remediation Services,561900,Other support services OR Other support services,-9.937047,-8.653391,0
32,Manufacturing,324121,Asphalt paving mixture and block manufacturing OR Asphalt paving mixture and block manufacturing,-1.1189455,3.2014349,0
52,Finance and Insurance,523000,"Securities, commodity contracts, investments OR Securities, commodity contracts, investments",-11.472505,-9.290636,0
33,Manufacturing,33211A,"All other forging, stamping , and sintering OR All other forging, stamping , and sintering",-4.488944,-5.241664,0
33,Manufacturing,333111,Farm machinery and equipment manufacturing OR Farm machinery and equipment manufacturing,-5.1873126,-9.13499,0
31,Manufacturing,311990,All other food manufacturing OR All other food manufacturing,-3.4580903,-4.4052734,0
31,Manufacturing,314990,All other miscellaneous textile product mills OR All other miscellaneous textile product mills,-3.9554577,-8.168288,0
32,Manufacturing,326121,Unlaminated plastics profile shape manufacturing OR Unlaminated plastics profile shape manufacturing,-10.506285,-10.561836,0
51,Information,515200,Cable and other subscription programming OR Cable and other subscription programming,-1.6321682,1.7940922,0
32,Manufacturing,321920,Wood container and pallet manufacturing OR Wood container and pallet manufacturing,-8.1260195,-20.092184,0
33,Manufacturing,33211B,"Crown, closure and metal stamping manufacturing OR Crown, closure and metal stamping manufacturing",-5.1397314,-8.149596,0
33,Manufacturing,332720,"Turned product and screw, nut, and bolt manufacturing OR Turned product and screw, nut, and bolt manufacturing",-7.783079,-9.527499,0
31,Manufacturing,313320,Fabric coating mills OR Fabric coating mills,1.0664418,-11.1735,0
33,Manufacturing,332114,Custom roll forming OR Custom roll forming,-3.6443522,-3.7101955,0
33,Manufacturing,332310,Plate work and fabricated structural product manufacturing OR Plate work and fabricated structural product manufacturing,-4.6195707,-7.3728967,0
33,Manufacturing,335911,Storage battery manufacturing OR Storage battery manufacturing,-8.038695,-9.198851,0
