,ID,Subsector_x,CO t,NH3 t,NOx t,PM10 t,PM 2.5 t,SO2 t,VOC t,Subsector_y,CO2 t CO2e,CH4 t CO2e,N2O t CO2e,Other GHGs t CO2e
93,212310,Dimensional Stone,12.0,0.229,18.8,140.0,27.1,3.76,1.82,Stone mining and quarrying,44500.0,0.0,0.0,0.0
94,722110,Full-Service Restaurants,12.0,0.001,0.38,0.617,11.3,0.005,2.12,,,,,
95,722211,Limited-Service Restaurants,11.7,0.001,0.339,0.686,12.6,0.003,2.29,,,,,
96,3219A0,"Veneer, Plywood, And Engineered Wood",11.1,0.098,4.61,3.08,4.72,0.264,12.5,,,,,
97,331420,Secondary Copper Products,10.7,0.009,0.736,0.287,0.672,0.04,1.78,"Copper rolling, drawing, extruding and alloying",9320.0,0.0,0.0,0.0
98,325610,Soap And Cleaning Compounds,9.68,0.088,7.87,0.337,1.32,3.68,2.33,Soap and cleaning compound manufacturing,11700.0,0.0,0.0,0.0
99,324121,Asphalt Pavement,8.32,0.008,2.42,0.498,0.403,0.543,0.789,Asphalt paving mixture and block manufacturing,4450.0,0.0,0.0,0.0
100,322299,All Other Converted Paper Products,7.65,0.286,7.14,0.712,3.35,5.67,17.0,All other converted paper product manufacturing,27800.0,0.0,0.0,0.0
101,311700,Seafood,7.53,0.246,20.3,0.122,0.882,2.63,0.945,Seafood product preparation and packaging,93400.0,0.0,0.0,0.0
102,721000,Hotels And Campgrounds,7.34,0.001,0.51,0.008,0.049,0.022,0.34,,,,,
103,311514,"Dry, Condensed, And Evaporated Dairy",6.67,0.248,4.41,3.17,3.88,0.688,1.26,"Dry, condensed, and evaporated dairy products",9210.0,0.0,0.0,0.0
104,324122,Asphalt Shingles,6.49,0.008,1.65,0.057,0.31,0.311,1.27,Asphalt shingle and coating materials manufacturing,1940.0,0.0,0.0,0.0
105,311119,Other Animal Food,6.37,0.348,5.21,7.07,4.43,3.38,5.12,Other animal food manufacturing,128000.0,0.0,0.0,0.0
106,532400,Commercial Equipment Rental,6.23,0.002,0.439,0.022,0.082,0.004,0.672,Commercial and industrial machinery and equipment rental and leasing,15200.0,0.0,0.0,0.0
107,327993,Mineral Wool,5.45,0.4,0.709,0.271,1.28,0.821,0.524,Mineral wool manufacturing,1730.0,0.0,0.0,0.0
108,561400,Business Support,5.19,0.005,0.511,0.016,0.081,0.018,1.28,Business support services,4870.0,0.0,0.0,0.0
109,33299B,"Metal Pipe Fittings, Ball And Roller Bearings, Industrial Patterns, Metal Bath Fixtures, Other Misc. Fabricated Metals",5.17,0.039,3.0,0.82,1.84,0.101,19.2,Ordnance and accessories manufacturing,45.8,0.0,0.0,0.0
110,33211A,"All Other Forging, Stamping, And Sintering",4.81,0.038,1.27,0.087,0.322,0.595,1.55,"All other forging, stamping , and sintering",4270.0,0.0,0.0,0.0
111,327992,Ground Or Treated Minerals And Earth,4.71,5.62,9.98,3.09,3.57,13.8,3.0,Ground or treated minerals and earths manufacturing,18600.0,0.0,0.0,0.0
112,313300,Finished And Coated Fabric,4.2,0.228,4.27,0.964,1.01,5.09,15.7,,,,,
113,21311A,Other Support Activities For Mining,4.0,0.013,4.8,0.453,0.296,0.818,1.96,Support activities for other mining,5290.0,0.0,0.0,0.0
114,811100,Vehicle Repair,4.0,0.0,0.214,0.007,0.099,0.0,66.9,,,,,
115,523A00,Securities And Commodities Brokerage And Exchanges,3.98,0.0,0.206,0.0,0.015,0.0,0.179,,,,,
