,Sector,Subsector,cluster
355,Manufacturing,Men's and boys' cut and sew apparel manufacturing OR Men's and boys' cut and sew apparel manufacturing,0
354,Manufacturing,All other transportation equipment manufacturing OR All other transportation equipment manufacturing,0
353,Manufacturing,Hosiery and sock mills OR Hosiery and sock mills,0
352,Manufacturing,Semiconductor machinery manufacturing OR Semiconductor machinery manufacturing,0
351,Manufacturing,Prefabricated wood building manufacturing OR Prefabricated wood building manufacturing,0
350,Manufacturing,Ordnance and accessories manufacturing OR Ordnance and accessories manufacturing,0
349,Manufacturing,Small electrical appliance manufacturing OR Small electrical appliance manufacturing,0
348,Manufacturing,Industrial process furnace and oven manufacturing OR Industrial process furnace and oven manufacturing,0
347,Manufacturing,Motor vehicle body manufacturing OR Motor vehicle body manufacturing,0
346,Manufacturing,Power-driven handtool manufacturing OR Power-driven handtool manufacturing,0
345,Manufacturing,Analytical laboratory instrument manufacturing OR Analytical laboratory instrument manufacturing,0
344,Manufacturing,Institutional furniture manufacturing OR Institutional furniture manufacturing,0
343,Manufacturing,Travel trailer and camper manufacturing OR Travel trailer and camper manufacturing,0
342,Manufacturing,"Motorcycle, bicycle, and parts manufacturing OR Motorcycle, bicycle, and parts manufacturing",0
341,"Mining, Quarrying, and Oil and Gas Extraction",Drilling oil and gas wells OR Drilling oil and gas wells,0
340,Manufacturing,Broadcast and wireless communications equipment OR Broadcast and wireless communications equipment,0
339,Finance and Insurance,Insurance carriers OR Insurance carriers,0
313,Manufacturing,Electronic connector manufacturing OR Electronic connector manufacturing,0
216,Manufacturing,Motor and generator manufacturing OR Motor and generator manufacturing,0
204,Manufacturing,Nonchocolate confectionery manufacturing OR Nonchocolate confectionery manufacturing,0
214,Manufacturing,Veneer and plywood manufacturing OR Veneer and plywood manufacturing,0
92,Manufacturing,Breweries OR Breweries,0
91,Manufacturing,Ground or treated minerals and earths manufacturing OR Ground or treated minerals and earths manufacturing,0
90,"Agriculture, Forestry, Fishing and Hunting",Logging OR Logging,0
89,Manufacturing,Ferrous metal foundaries OR Ferrous metal foundaries,0
88,"Mining, Quarrying, and Oil and Gas Extraction","Gold, silver, and other metal ore mining OR Gold, silver, and other metal ore mining",0
87,Educational Services,"Colleges, universities, and junior colleges OR Colleges, universities, and junior colleges",0
